0) 2778,86306053332    
1) 122,989871017083    
2) 82,1472682371949    
3) 76,356524444616    
4) 61,0413111524732    
5) 50,9683487539175    
6) 47,9593833316285    
7) 44,981746011898    
8) 38,0164540988156    
9) 34,572912188653    
10) 32,7199855351851    
11) 31,8325361896886    
12) 30,5892563118218    
13) 27,6282053058751    
14) 26,475439514874    
15) 24,3901038778786    
16) 21,9998378580876    
17) 21,3738919817736    
18) 17,847277475325    
19) 17,7347675660888    
20) 15,0755606337591    
21) 14,7049197515004    
22) 14,0603885099733    
23) 13,1639864006471    
24) 12,2349087116879    
25) 10,8504143409719    
26) 10,6153897596594    
27) 9,87032530485804    
28) 9,21117254928158    
29) 8,18992451445918    
30) 7,80898370970681    
31) 7,01570329553    
32) 6,73363752496857    
33) 6,17823272300848    
34) 5,8177273815023    
35) 5,47184114772451    
36) 5,06199359385663    
37) 4,91136255844328    
38) 4,45052110275634    
39) 4,32030268345142    
40) 3,95840216765234    
41) 3,7330291590482    
42) 3,65533798111393    
43) 3,29148086330368    
44) 3,15140467764766    
45) 2,95155949461954    
46) 2,8844414897121    
47) 2,66626253270725    
48) 2,54517015702682    
49) 2,40486411946113    
50) 2,32528603680306    
51) 2,27245010012319    
52) 2,0898744003355    
53) 2,05797767994724    
54) 1,7712328223831    
55) 1,62094228109083    
56) 1,46375855705155    
57) 1,33431532452367    
58) 1,24083018462691    
59) 1,03087847613291    
60) 0,947958801341408    
61) 0,908404765904633    
62) 0,759885250707222    
63) 0,687451554774112    
64) 0,585255148719326    
65) 0,387709134563796    
66) 0,264041734448188    
67) 0,185771237437919    
68) 0,0944149319543434    


